	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subspecies	Name
MGS.hg0001	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus	unclassified	Bacteroides vulgatus
MGS.hg0002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	unclassified	Bacteroides uniformis
MGS.hg0003	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	[Eubacterium] rectale	unclassified	[Eubacterium] rectale
MGS.hg0004	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Blautia wexlerae	unclassified	Blautia wexlerae
MGS.hg0005	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Fusicatenibacter saccharivorans	unclassified	Fusicatenibacter saccharivorans
MGS.hg0006	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	unclassified	Bacteroides ovatus
MGS.hg0007	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	unclassified	Parabacteroides distasonis
MGS.hg0008	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	unclassified	Alistipes putredinis
MGS.hg0009	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	unclassified	Faecalibacterium prausnitzii
MGS.hg0010	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	unclassified	Anaerostipes hadrus
MGS.hg0011	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	unclassified	Roseburia faecis
MGS.hg0012	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	unclassified	unclassified	Eubacterium sp.
MGS.hg0013	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	unclassified	Ruminococcus bromii
MGS.hg0014	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. AF34-10BH	unclassified	Clostridium sp. AF34-10BH
MGS.hg0015	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	unclassified	Faecalibacterium prausnitzii
MGS.hg0016	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	unclassified	Parabacteroides merdae
MGS.hg0017	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum sp. APC924/74	unclassified	Subdoligranulum sp. APC924/74
MGS.hg0018	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	unclassified	Faecalibacterium prausnitzii
MGS.hg0019	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	unclassified	Bacteroides dorei
MGS.hg0020	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	unclassified	Collinsella aerofaciens
